publish_date,publish_time_america_phoenix,channel,target_channel,story_type,trend_mechanic,theme,hook_text,story_copy,asset_plan,audio_plan,cta,compliance_notes,status
2026-06-13,18:30,Story,Facebook Page Stories,interactive story,reaction prompt,wrapper preference,Wrapper reaction,Which wrapper makes you lean in first? 21+ only.,Leaf color cards + reaction labels,silent image story or original clean lounge bed for video variant,"Poll, reply, or question sticker in Meta Planner",Adult 21+ only; community prompt; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-06-13,20:45,Story,Facebook Page Stories,vertical video story,rough-week humor,"Rough week, adult ritual","You've had a rough week, but you just clean the ashtray and check the humidor.","Captioned, original-audio viral format. 21+ only.",HyperFrames MP4 ready: output/social/yuzu-facebook-story-rough-week-reset-2026-06-12.mp4,Verified clean AAC audio: output/social/audio-verification-2026-06-08/yuzu-facebook-story-rough-week-reset-audio-verification.json,Reply sticker or poll follow-up next morning,Adult 21+ only; original/licensed audio only; no marketplace/pricing/inventory/health claims; no minors; no tobacco-as-coping/therapy claim.,ready:meta-planner-story-video-audio-verified
2026-06-14,09:00,Story,Facebook Page Stories,image story,technique tip,toast and light,Toast before the first draw,The best light starts before the puff. 21+ only.,Foot/ember visual + slow glow transition,silent image story or Meta Planner-safe subtle sticker audio only,Use poll/reply sticker where available,Adult 21+ only; education/community framing; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-06-14,18:30,Story,Facebook Page Stories,interactive story,poll prompt,cut preference,Cut confession,What cut do you keep coming back to? 21+ only.,Cutter lineup + clean icons,silent image story or original clean lounge bed for video variant,"Poll, reply, or question sticker in Meta Planner",Adult 21+ only; community prompt; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-06-15,09:00,Story,Facebook Page Stories,image story,pairing framework,pairing wheel,Pairing has three lanes,"Contrast, echo, or cleanse. 21+ only.",Wheel graphic over coffee/water/table,silent image story or Meta Planner-safe subtle sticker audio only,Use poll/reply sticker where available,Adult 21+ only; education/community framing; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-06-15,18:30,Story,Facebook Page Stories,interactive story,weekly check,humidor check,Humidor check-in,"Steady, drifting, or needs attention? 21+ only.",Cedar drawer + status chips,silent image story or original clean lounge bed for video variant,"Poll, reply, or question sticker in Meta Planner",Adult 21+ only; community prompt; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-06-16,09:00,Story,Facebook Page Stories,image story,storage journal,rest timeline,Resting is note-taking,Date it. Feel it. Revisit it. 21+ only.,Journal/timeline cards,silent image story or Meta Planner-safe subtle sticker audio only,Use poll/reply sticker where available,Adult 21+ only; education/community framing; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-06-16,18:30,Story,Facebook Page Stories,interactive story,discussion prompt,etiquette,Lounge etiquette,What small habit makes the room better? 21+ only.,Quiet lounge table + refined prompt,silent image story or original clean lounge bed for video variant,"Poll, reply, or question sticker in Meta Planner",Adult 21+ only; community prompt; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-06-17,09:00,Story,Facebook Page Stories,image story,myth correction,ash color myth,Ash color is not a grade,"Look at burn, structure, and your palate too. 21+ only.",Ash macro + myth/fact frame,silent image story or Meta Planner-safe subtle sticker audio only,Use poll/reply sticker where available,Adult 21+ only; education/community framing; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-06-17,18:30,Story,Facebook Page Stories,interactive story,poll prompt,pairing,Pairing lane,"Contrast, echo, or cleanse tonight? 21+ only.",Glass/coffee/water visual + three lanes,silent image story or original clean lounge bed for video variant,"Poll, reply, or question sticker in Meta Planner",Adult 21+ only; community prompt; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-06-18,09:00,Story,Facebook Page Stories,image story,cigar anatomy,anatomy,"Wrapper, binder, filler","Three roles, one blend. 21+ only.",Cutaway editorial layout,silent image story or Meta Planner-safe subtle sticker audio only,Use poll/reply sticker where available,Adult 21+ only; education/community framing; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-06-18,18:30,Story,Facebook Page Stories,interactive story,vote prompt,content voting,Next guide vote,"Ash, wrapper, cuts, storage, pairings, or notes? 21+ only.",Topic chip board,silent image story or original clean lounge bed for video variant,"Poll, reply, or question sticker in Meta Planner",Adult 21+ only; community prompt; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-06-19,09:00,Story,Facebook Page Stories,image story,how-to micro lesson,ash technique,How to ash without drama,Stop tapping every 10 seconds. 21+ only.,Macro ash tray visual + three-step overlay,silent image story or Meta Planner-safe subtle sticker audio only,Use poll/reply sticker where available,Adult 21+ only; education/community framing; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-06-19,18:30,Story,Facebook Page Stories,interactive story,poll prompt,daily roll call,What are you smoking tonight?,"Mellow, bold, maduro, or rested? 21+ only.",Luxury poll card with four answer chips,silent image story or original clean lounge bed for video variant,"Poll, reply, or question sticker in Meta Planner",Adult 21+ only; community prompt; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-06-19,20:45,Story,Facebook Page Stories,vertical video story,mythical visual effect,Google Earth-style humidor pull,Pull from patio chair into a surreal humidor grid.,"Captioned, original-audio viral format. 21+ only.",HyperFrames 9:16 MP4 with clean lounge bed and caption-first motion,Glitch/pull transition; original audio bed,Reply sticker or poll follow-up next morning,Adult 21+ only; original/licensed audio only; no marketplace/pricing/inventory/health claims; no minors; no tobacco-as-coping/therapy claim.,planned:needs-hyperframes-video-and-audio-gate
2026-06-20,09:00,Story,Facebook Page Stories,image story,myth correction,wrapper meaning,Wrapper color is not the whole story,"Claro to maduro is a clue, not a verdict. 21+ only.",Wrapper strip visual + color ladder,silent image story or Meta Planner-safe subtle sticker audio only,Use poll/reply sticker where available,Adult 21+ only; education/community framing; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-06-20,18:30,Story,Facebook Page Stories,interactive story,comment prompt,tasting notes,One-word tasting note,Drop one word. No paragraph required. 21+ only.,Notebook visual with one-word chips,silent image story or original clean lounge bed for video variant,"Poll, reply, or question sticker in Meta Planner",Adult 21+ only; community prompt; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-06-20,20:45,Story,Facebook Page Stories,vertical video story,reaction stream,Wrapper myth reaction stream,React to: 'dark wrapper always means stronger.',"Captioned, original-audio viral format. 21+ only.",HyperFrames 9:16 MP4 with clean lounge bed and caption-first motion,Split-screen myth/fact pacing; original audio bed,Reply sticker or poll follow-up next morning,Adult 21+ only; original/licensed audio only; no marketplace/pricing/inventory/health claims; no minors; no tobacco-as-coping/therapy claim.,planned:needs-hyperframes-video-and-audio-gate
2026-06-21,09:00,Story,Facebook Page Stories,image story,quick comparison,cut styles,Your cut changes the draw,"Straight, V, punch: pick for the cigar, not the flex. 21+ only.",Cutter macro + three icon callouts,silent image story or Meta Planner-safe subtle sticker audio only,Use poll/reply sticker where available,Adult 21+ only; education/community framing; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-06-21,18:30,Story,Facebook Page Stories,interactive story,rough-week humor,ritual,Rough week reset,"No drama. Clean tray, check humidor, pick a chair. 21+ only.",Humidor reset sequence with warm text,silent image story or original clean lounge bed for video variant,"Poll, reply, or question sticker in Meta Planner",Adult 21+ only; community prompt; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-06-22,09:00,Story,Facebook Page Stories,image story,storage tip,humidor consistency,Humidity: watch the swing,Consistency beats chasing one magic number. 21+ only.,Hygrometer closeup + calm line chart,silent image story or Meta Planner-safe subtle sticker audio only,Use poll/reply sticker where available,Adult 21+ only; education/community framing; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-06-22,18:30,Story,Facebook Page Stories,interactive story,poll prompt,ash habits,Ash habit check,"Tap early, let it ride, or roll gently? 21+ only.",Ashtray visual + three-option sticker area,silent image story or original clean lounge bed for video variant,"Poll, reply, or question sticker in Meta Planner",Adult 21+ only; community prompt; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-06-23,09:00,Story,Facebook Page Stories,image story,definition card,strength vs body,Strength is not body,A cigar can feel full without shouting. 21+ only.,Three-part tasting card,silent image story or Meta Planner-safe subtle sticker audio only,Use poll/reply sticker where available,Adult 21+ only; education/community framing; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-06-23,18:30,Story,Facebook Page Stories,interactive story,reaction prompt,wrapper preference,Wrapper reaction,Which wrapper makes you lean in first? 21+ only.,Leaf color cards + reaction labels,silent image story or original clean lounge bed for video variant,"Poll, reply, or question sticker in Meta Planner",Adult 21+ only; community prompt; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-06-24,09:00,Story,Facebook Page Stories,image story,technique tip,toast and light,Toast before the first draw,The best light starts before the puff. 21+ only.,Foot/ember visual + slow glow transition,silent image story or Meta Planner-safe subtle sticker audio only,Use poll/reply sticker where available,Adult 21+ only; education/community framing; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-06-24,18:30,Story,Facebook Page Stories,interactive story,poll prompt,cut preference,Cut confession,What cut do you keep coming back to? 21+ only.,Cutter lineup + clean icons,silent image story or original clean lounge bed for video variant,"Poll, reply, or question sticker in Meta Planner",Adult 21+ only; community prompt; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-06-25,09:00,Story,Facebook Page Stories,image story,pairing framework,pairing wheel,Pairing has three lanes,"Contrast, echo, or cleanse. 21+ only.",Wheel graphic over coffee/water/table,silent image story or Meta Planner-safe subtle sticker audio only,Use poll/reply sticker where available,Adult 21+ only; education/community framing; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-06-25,18:30,Story,Facebook Page Stories,interactive story,weekly check,humidor check,Humidor check-in,"Steady, drifting, or needs attention? 21+ only.",Cedar drawer + status chips,silent image story or original clean lounge bed for video variant,"Poll, reply, or question sticker in Meta Planner",Adult 21+ only; community prompt; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-06-26,09:00,Story,Facebook Page Stories,image story,storage journal,rest timeline,Resting is note-taking,Date it. Feel it. Revisit it. 21+ only.,Journal/timeline cards,silent image story or Meta Planner-safe subtle sticker audio only,Use poll/reply sticker where available,Adult 21+ only; education/community framing; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-06-26,18:30,Story,Facebook Page Stories,interactive story,discussion prompt,etiquette,Lounge etiquette,What small habit makes the room better? 21+ only.,Quiet lounge table + refined prompt,silent image story or original clean lounge bed for video variant,"Poll, reply, or question sticker in Meta Planner",Adult 21+ only; community prompt; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-06-26,20:45,Story,Facebook Page Stories,vertical video story,emotional recreation,The first-inch test,When the first inch tells on your lighting technique.,"Captioned, original-audio viral format. 21+ only.",HyperFrames 9:16 MP4 with clean lounge bed and caption-first motion,Original audio with captions; no smoking closeup required,Reply sticker or poll follow-up next morning,Adult 21+ only; original/licensed audio only; no marketplace/pricing/inventory/health claims; no minors; no tobacco-as-coping/therapy claim.,planned:needs-hyperframes-video-and-audio-gate
2026-06-27,09:00,Story,Facebook Page Stories,image story,myth correction,ash color myth,Ash color is not a grade,"Look at burn, structure, and your palate too. 21+ only.",Ash macro + myth/fact frame,silent image story or Meta Planner-safe subtle sticker audio only,Use poll/reply sticker where available,Adult 21+ only; education/community framing; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-06-27,18:30,Story,Facebook Page Stories,interactive story,poll prompt,pairing,Pairing lane,"Contrast, echo, or cleanse tonight? 21+ only.",Glass/coffee/water visual + three lanes,silent image story or original clean lounge bed for video variant,"Poll, reply, or question sticker in Meta Planner",Adult 21+ only; community prompt; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-06-27,20:45,Story,Facebook Page Stories,vertical video story,mythical visual effect,Cigar Flow signal pull,Everyday desk turns into the Cigar Flow board.,"Captioned, original-audio viral format. 21+ only.",HyperFrames 9:16 MP4 with clean lounge bed and caption-first motion,Editorial transition into weekly signal cards,Reply sticker or poll follow-up next morning,Adult 21+ only; original/licensed audio only; no marketplace/pricing/inventory/health claims; no minors; no tobacco-as-coping/therapy claim.,planned:needs-hyperframes-video-and-audio-gate
2026-06-28,09:00,Story,Facebook Page Stories,image story,cigar anatomy,anatomy,"Wrapper, binder, filler","Three roles, one blend. 21+ only.",Cutaway editorial layout,silent image story or Meta Planner-safe subtle sticker audio only,Use poll/reply sticker where available,Adult 21+ only; education/community framing; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-06-28,18:30,Story,Facebook Page Stories,interactive story,vote prompt,content voting,Next guide vote,"Ash, wrapper, cuts, storage, pairings, or notes? 21+ only.",Topic chip board,silent image story or original clean lounge bed for video variant,"Poll, reply, or question sticker in Meta Planner",Adult 21+ only; community prompt; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-06-29,09:00,Story,Facebook Page Stories,image story,how-to micro lesson,ash technique,How to ash without drama,Stop tapping every 10 seconds. 21+ only.,Macro ash tray visual + three-step overlay,silent image story or Meta Planner-safe subtle sticker audio only,Use poll/reply sticker where available,Adult 21+ only; education/community framing; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-06-29,18:30,Story,Facebook Page Stories,interactive story,poll prompt,daily roll call,What are you smoking tonight?,"Mellow, bold, maduro, or rested? 21+ only.",Luxury poll card with four answer chips,silent image story or original clean lounge bed for video variant,"Poll, reply, or question sticker in Meta Planner",Adult 21+ only; community prompt; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-06-30,09:00,Story,Facebook Page Stories,image story,myth correction,wrapper meaning,Wrapper color is not the whole story,"Claro to maduro is a clue, not a verdict. 21+ only.",Wrapper strip visual + color ladder,silent image story or Meta Planner-safe subtle sticker audio only,Use poll/reply sticker where available,Adult 21+ only; education/community framing; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-06-30,18:30,Story,Facebook Page Stories,interactive story,comment prompt,tasting notes,One-word tasting note,Drop one word. No paragraph required. 21+ only.,Notebook visual with one-word chips,silent image story or original clean lounge bed for video variant,"Poll, reply, or question sticker in Meta Planner",Adult 21+ only; community prompt; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-07-01,09:00,Story,Facebook Page Stories,image story,quick comparison,cut styles,Your cut changes the draw,"Straight, V, punch: pick for the cigar, not the flex. 21+ only.",Cutter macro + three icon callouts,silent image story or Meta Planner-safe subtle sticker audio only,Use poll/reply sticker where available,Adult 21+ only; education/community framing; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-07-01,18:30,Story,Facebook Page Stories,interactive story,rough-week humor,ritual,Rough week reset,"No drama. Clean tray, check humidor, pick a chair. 21+ only.",Humidor reset sequence with warm text,silent image story or original clean lounge bed for video variant,"Poll, reply, or question sticker in Meta Planner",Adult 21+ only; community prompt; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-07-02,09:00,Story,Facebook Page Stories,image story,storage tip,humidor consistency,Humidity: watch the swing,Consistency beats chasing one magic number. 21+ only.,Hygrometer closeup + calm line chart,silent image story or Meta Planner-safe subtle sticker audio only,Use poll/reply sticker where available,Adult 21+ only; education/community framing; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-07-02,18:30,Story,Facebook Page Stories,interactive story,poll prompt,ash habits,Ash habit check,"Tap early, let it ride, or roll gently? 21+ only.",Ashtray visual + three-option sticker area,silent image story or original clean lounge bed for video variant,"Poll, reply, or question sticker in Meta Planner",Adult 21+ only; community prompt; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-07-03,09:00,Story,Facebook Page Stories,image story,definition card,strength vs body,Strength is not body,A cigar can feel full without shouting. 21+ only.,Three-part tasting card,silent image story or Meta Planner-safe subtle sticker audio only,Use poll/reply sticker where available,Adult 21+ only; education/community framing; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-07-03,18:30,Story,Facebook Page Stories,interactive story,reaction prompt,wrapper preference,Wrapper reaction,Which wrapper makes you lean in first? 21+ only.,Leaf color cards + reaction labels,silent image story or original clean lounge bed for video variant,"Poll, reply, or question sticker in Meta Planner",Adult 21+ only; community prompt; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-07-03,20:45,Story,Facebook Page Stories,vertical video story,emotional recreation,One-word notes challenge,"Say cedar, cream, pepper, earth in four different moods.","Captioned, original-audio viral format. 21+ only.",HyperFrames 9:16 MP4 with clean lounge bed and caption-first motion,Original beat; text-led caption safety,Reply sticker or poll follow-up next morning,Adult 21+ only; original/licensed audio only; no marketplace/pricing/inventory/health claims; no minors; no tobacco-as-coping/therapy claim.,planned:needs-hyperframes-video-and-audio-gate
2026-07-04,09:00,Story,Facebook Page Stories,image story,technique tip,toast and light,Toast before the first draw,The best light starts before the puff. 21+ only.,Foot/ember visual + slow glow transition,silent image story or Meta Planner-safe subtle sticker audio only,Use poll/reply sticker where available,Adult 21+ only; education/community framing; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-07-04,18:30,Story,Facebook Page Stories,interactive story,poll prompt,cut preference,Cut confession,What cut do you keep coming back to? 21+ only.,Cutter lineup + clean icons,silent image story or original clean lounge bed for video variant,"Poll, reply, or question sticker in Meta Planner",Adult 21+ only; community prompt; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-07-04,20:45,Story,Facebook Page Stories,vertical video story,reaction stream,Humidor drift split-screen,React to a hygrometer swing without panic.,"Captioned, original-audio viral format. 21+ only.",HyperFrames 9:16 MP4 with clean lounge bed and caption-first motion,"Educational reaction, calm resolution",Reply sticker or poll follow-up next morning,Adult 21+ only; original/licensed audio only; no marketplace/pricing/inventory/health claims; no minors; no tobacco-as-coping/therapy claim.,planned:needs-hyperframes-video-and-audio-gate
2026-07-05,09:00,Story,Facebook Page Stories,image story,pairing framework,pairing wheel,Pairing has three lanes,"Contrast, echo, or cleanse. 21+ only.",Wheel graphic over coffee/water/table,silent image story or Meta Planner-safe subtle sticker audio only,Use poll/reply sticker where available,Adult 21+ only; education/community framing; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-07-05,18:30,Story,Facebook Page Stories,interactive story,weekly check,humidor check,Humidor check-in,"Steady, drifting, or needs attention? 21+ only.",Cedar drawer + status chips,silent image story or original clean lounge bed for video variant,"Poll, reply, or question sticker in Meta Planner",Adult 21+ only; community prompt; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-07-06,09:00,Story,Facebook Page Stories,image story,storage journal,rest timeline,Resting is note-taking,Date it. Feel it. Revisit it. 21+ only.,Journal/timeline cards,silent image story or Meta Planner-safe subtle sticker audio only,Use poll/reply sticker where available,Adult 21+ only; education/community framing; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-07-06,18:30,Story,Facebook Page Stories,interactive story,discussion prompt,etiquette,Lounge etiquette,What small habit makes the room better? 21+ only.,Quiet lounge table + refined prompt,silent image story or original clean lounge bed for video variant,"Poll, reply, or question sticker in Meta Planner",Adult 21+ only; community prompt; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-07-07,09:00,Story,Facebook Page Stories,image story,myth correction,ash color myth,Ash color is not a grade,"Look at burn, structure, and your palate too. 21+ only.",Ash macro + myth/fact frame,silent image story or Meta Planner-safe subtle sticker audio only,Use poll/reply sticker where available,Adult 21+ only; education/community framing; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-07-07,18:30,Story,Facebook Page Stories,interactive story,poll prompt,pairing,Pairing lane,"Contrast, echo, or cleanse tonight? 21+ only.",Glass/coffee/water visual + three lanes,silent image story or original clean lounge bed for video variant,"Poll, reply, or question sticker in Meta Planner",Adult 21+ only; community prompt; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-07-08,09:00,Story,Facebook Page Stories,image story,cigar anatomy,anatomy,"Wrapper, binder, filler","Three roles, one blend. 21+ only.",Cutaway editorial layout,silent image story or Meta Planner-safe subtle sticker audio only,Use poll/reply sticker where available,Adult 21+ only; education/community framing; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-07-08,18:30,Story,Facebook Page Stories,interactive story,vote prompt,content voting,Next guide vote,"Ash, wrapper, cuts, storage, pairings, or notes? 21+ only.",Topic chip board,silent image story or original clean lounge bed for video variant,"Poll, reply, or question sticker in Meta Planner",Adult 21+ only; community prompt; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
