publish_date,channel,target_channels,content_type,theme,draft_copy,asset,cta,compliance_notes,status
2026-06-19,Page,Facebook Page + Facebook Group,infographic,Toast and light,"Toast and light guide: warm the foot before the first draw, rotate for an even glow, then take a few calm puffs to confirm the burn. Do not scorch the wrapper or rush the first inch. What is your lighting habit? 21+ only.",Detailed visual guide set required for this topic: keep the scheduled Page image (C:/Users/qfash/Documents/New project/output/social/facebook-planner-month-2026-06-09/page-assets/2026-06-19-toast-and-light-fb-page-4x5.jpg) and add 3-5 step/detail cards before reposting or future scheduling.,Comment with your lighting habit,Adult 21+ only; education only; no claim language,scheduled:facebook_page=1148511071677542_122104372911350335; facebook_group=planned; caption_refreshed_2026-06-09
2026-06-20,Group,Facebook Page + Facebook Group,discussion prompt,Lounge etiquette,"Lounge etiquette thread: what is one small habit that makes the whole room better? Think tray use, conversation, chair spacing, and how you welcome a new adult smoker. 21+ only.","Luxury lounge prompt image with chairs, ashtray, and restrained copy plus a visual detail card or step image before posting",Share one lounge habit,Adult 21+ only; community standards; no marketplace/pricing/inventory language,planned:needs-group-asset-and-group-post; copy_expanded_2026-06-09
2026-06-21,Page,Facebook Page + Facebook Group,infographic,Pairing wheel,"Pairing guide: choose one lane - contrast, echo, or cleanse. Coffee can echo roast, water can reset the palate, and a small bite can frame sweetness or spice. Keep it responsible and descriptive. Which lane do you usually choose? 21+ only.",Detailed visual guide set required for this topic: keep the scheduled Page image (C:/Users/qfash/Documents/New project/output/social/facebook-planner-month-2026-06-09/page-assets/2026-06-21-pairing-wheel-fb-page-4x5.jpg) and add 3-5 step/detail cards before reposting or future scheduling.,Comment with your pairing lane,Adult 21+ only; responsible pairing language; avoid overconsumption framing,scheduled:facebook_page=1148511071677542_122104372977350335; facebook_group=planned; caption_refreshed_2026-06-09
2026-06-22,Group,Facebook Page + Facebook Group,discussion prompt,Pairing notes,"Pairing thread: what setting, drink, or small bite surprised you in a good way with a cigar? Name the lane: contrast, echo, or cleanse, and keep it responsible. 21+ only.","Luxury prompt image: glassware, coffee cup, and cigar rest with no brand labels plus a visual detail card or step image before posting",Share a pairing note,Adult 21+ only; responsible discussion; no sales or health claims,planned:needs-group-asset-and-group-post; copy_expanded_2026-06-09
2026-06-23,Page,Facebook Page + Facebook Group,infographic,Rest timeline,"Rest timeline: write the date, storage feel, first draw impression, and what changed after a revisit. The point is learning what time did to the cigar. What do you write down before you forget? 21+ only.",Detailed visual guide set required for this topic: keep the scheduled Page image (C:/Users/qfash/Documents/New project/output/social/facebook-planner-month-2026-06-09/page-assets/2026-06-23-rest-timeline-fb-page-4x5.jpg) and add 3-5 step/detail cards before reposting or future scheduling.,Comment with one tracking habit,Adult 21+ only; storage and notes education; no inventory language,scheduled:facebook_page=1148511071677542_122104373031350335; facebook_group=planned; caption_refreshed_2026-06-09
2026-06-24,Group,Facebook Page + Facebook Group,discussion prompt,What are you resting,"What are you letting rest right now, and what are you hoping changes when you revisit it? Add the date, storage feel, and one note you want to compare later. No prices, no trades, just notes. 21+ only.",Luxury 1:1 prompt image: closed humidor drawer and handwritten note card plus a visual detail card or step image before posting,Share the rest story,Adult 21+ only; no trading/pricing/inventory; subjective discussion,planned:needs-group-asset-and-group-post; copy_expanded_2026-06-09
2026-06-25,Page,Facebook Page + Facebook Group,infographic,Ash color myth,"Ash color guide: color can be interesting, but it does not grade the cigar by itself. Watch structure, burn line, flake, and how the draw behaves with your palate notes. What do you watch? 21+ only.",Detailed visual guide set required for this topic: keep the scheduled Page image (C:/Users/qfash/Documents/New project/output/social/facebook-planner-month-2026-06-09/page-assets/2026-06-25-ash-color-myth-fb-page-4x5.jpg) and add 3-5 step/detail cards before reposting or future scheduling.,Comment with what you watch,Adult 21+ only; education only; avoids quality certainty claims; no marketplace language,scheduled:facebook_page=1148511071677542_122104373085350335; facebook_group=planned; caption_refreshed_2026-06-09
2026-06-26,Group,Facebook Page + Facebook Group,discussion prompt,Ash questions,"Ash question: what is the messiest lesson a cigar ever taught you? Share the fix: wait longer, move over the tray, roll softer, or clean the rest first. 21+ only.",Luxury prompt image: ashtray detail and small clean-up cloth,Share one useful lesson,Adult 21+ only; practical discussion; no claims or marketplace language,planned:needs-group-asset-and-group-post; copy_expanded_2026-06-09
2026-06-27,Page,Facebook Page + Facebook Group,infographic,Cigar anatomy,"Cigar anatomy guide: wrapper brings surface aroma and texture, binder helps structure, and filler carries much of the blend rhythm. Add cap, foot, draw, and burn line to your vocabulary. What part are you learning now? 21+ only.",Detailed visual guide set required for this topic: keep the scheduled Page image (C:/Users/qfash/Documents/New project/output/social/facebook-planner-month-2026-06-09/page-assets/2026-06-27-cigar-anatomy-fb-page-4x5.jpg) and add 3-5 step/detail cards before reposting or future scheduling.,Comment with what you are learning,Adult 21+ only; education only; no sales language,scheduled:facebook_page=1148511071677542_122104373157350335; facebook_group=planned; caption_refreshed_2026-06-09
2026-06-28,Group,Facebook Page + Facebook Group,discussion prompt,Anatomy question,"Anatomy thread: wrapper, binder, filler, cap, foot, draw, burn line. Which term clicked for you last, and what visual cue helped it make sense? 21+ only.",Luxury 1:1 prompt image with labeled cigar silhouette and minimal copy plus a visual detail card or step image before posting,Ask or answer one term,Adult 21+ only; beginner-friendly education; no marketplace language,planned:needs-group-asset-and-group-post; copy_expanded_2026-06-09
2026-06-29,Page,Facebook Page + Facebook Group,infographic,Shape and ring gauge,"Shape and ring gauge guide: size changes draw, temperature, pace, and how much wrapper you notice. Compare one variable at a time before deciding what format fits you. Which size do you keep coming back to? 21+ only.",Detailed visual guide set required for this topic: keep the scheduled Page image (C:/Users/qfash/Documents/New project/output/social/facebook-planner-month-2026-06-09/page-assets/2026-06-29-shape-and-ring-gauge-fb-page-4x5.jpg) and add 3-5 step/detail cards before reposting or future scheduling.,Comment with your usual shape,Adult 21+ only; education only; subjective framing,scheduled:facebook_page=1148511071677542_122104373241350335; facebook_group=planned; caption_refreshed_2026-06-09
2026-06-30,Group,Facebook Page + Facebook Group,discussion prompt,Shape preference,"Shape thread: robusto, toro, lancero, box-pressed, or something else. What format taught you the most about pace, draw, temperature, or wrapper character? 21+ only.",Luxury prompt image: elegant silhouettes with one focal cigar rest plus a visual detail card or step image before posting,Share your format,Adult 21+ only; discussion only; no marketplace language,planned:needs-group-asset-and-group-post; copy_expanded_2026-06-09
2026-07-01,Page,Facebook Page + Facebook Group,infographic,Tasting notes without snobbery,"Tasting notes guide: notice first, name second, compare third. Start with texture, aroma, finish, and one familiar word instead of forcing a fancy note. What note do you actually trust? 21+ only.",Detailed visual guide set required for this topic: keep the scheduled Page image (C:/Users/qfash/Documents/New project/output/social/facebook-planner-month-2026-06-09/page-assets/2026-07-01-tasting-notes-without-snobbery-fb-page-4x5.jpg) and add 3-5 step/detail cards before reposting or future scheduling.,Comment with one trusted note,Adult 21+ only; subjective education; no claims,scheduled:facebook_page=1148511071677542_122104373337350335; facebook_group=planned; caption_refreshed_2026-06-09
2026-07-02,Group,Facebook Page + Facebook Group,discussion prompt,One-word tasting notes,"One-word tasting notes thread: no paragraph needed. Drop one word from your last cigar, then add the cue that led you there: aroma, texture, finish, or memory. 21+ only.",Luxury 1:1 word-card over dark lounge table plus a visual detail card or step image before posting,Drop one word,Adult 21+ only; subjective notes; no marketplace/pricing/inventory language,planned:needs-group-asset-and-group-post; copy_expanded_2026-06-09
2026-07-03,Page,Facebook Page + Facebook Group,infographic,Patio etiquette,"Patio etiquette guide: watch the wind, mind shared space, use the ashtray, and keep the conversation better than the smoke trail. If someone moves away, give them room without making it a thing. What patio rule matters most? 21+ only.",Detailed visual guide set required for this topic: keep the scheduled Page image (C:/Users/qfash/Documents/New project/output/social/facebook-planner-month-2026-06-09/page-assets/2026-07-03-patio-etiquette-fb-page-4x5.jpg) and add 3-5 step/detail cards before reposting or future scheduling.,Comment with one patio rule,Adult 21+ only; community etiquette; no sales or health language,scheduled:facebook_page=1148511071677542_122104373427350335; facebook_group=planned; caption_refreshed_2026-06-09
2026-07-04,Group,Facebook Page + Facebook Group,discussion prompt,Long weekend roll call,"Long weekend roll call: quiet chair, lounge table, patio, or humidor reorganization? Add the scene and the small habit that makes the cigar conversation better. 21+ only.",Luxury patriotic-neutral lounge prompt image with no official marks or fireworks focus plus a visual detail card or step image before posting,Check in with the lounge,Adult 21+ only; responsible community prompt; no marketplace language,planned:needs-group-asset-and-group-post; copy_expanded_2026-06-09
2026-07-05,Page,Facebook Page + Facebook Group,infographic,Travel humidor checklist,"Travel humidor checklist: protect the cigars, check the seal, avoid heat swings, plan the timing, and open only when you need to. What do you check first? 21+ only.",Detailed visual guide set required for this topic: keep the scheduled Page image (C:/Users/qfash/Documents/New project/output/social/facebook-planner-month-2026-06-09/page-assets/2026-07-05-travel-humidor-checklist-fb-page-4x5.jpg) and add 3-5 step/detail cards before reposting or future scheduling.,Comment with your first check,Adult 21+ only; storage education; no product promotion,scheduled:facebook_page=1148511071677542_122104373517350335; facebook_group=planned; caption_refreshed_2026-06-09
2026-07-06,Group,Facebook Page + Facebook Group,weekly thread,Humidor check,"Weekly humidor check: what is steady, what is drifting, and what did the week teach you? Add the number, the swing, or the physical cue you trust most. 21+ only.",Luxury humidor check prompt card with cedar drawer and hygrometer plus a visual detail card or step image before posting,Share the check-in,Adult 21+ only; storage discussion; no marketplace language,planned:needs-group-asset-and-group-post; copy_expanded_2026-06-09
2026-07-07,Page,Facebook Page + Facebook Group,editorial infographic,Cigar Flow explainer,"Cigar Flow guide: scan releases, craft notes, maker updates, lounge culture, and details worth saving. We turn the noise into a weekly adult 21+ reading list without marketplace posts. What should we track next? 21+ only.",Detailed visual guide set required for this topic: keep the scheduled Page image (C:/Users/qfash/Documents/New project/output/social/facebook-planner-month-2026-06-09/page-assets/2026-07-07-cigar-flow-explainer-fb-page-4x5.jpg) and add 3-5 step/detail cards before reposting or future scheduling.,Vote on the next signal,Adult 21+ only; editorial news-and-culture framing; no marketplace/pricing/inventory language,planned:awaiting_meta_schedule_window; facebook_group=planned; caption_refreshed_2026-06-09
2026-07-08,Group,Facebook Page + Facebook Group,discussion prompt,Next guide vote,"Next Yuzu guide vote: wrapper colors, ash technique, cuts, storage, pairings, tasting notes, or lounge etiquette? Vote with the visual detail you want explained. 21+ only.",Luxury 1:1 vote card with seven refined topic chips over lounge photo plus a visual detail card or step image before posting,Vote for the next guide,Adult 21+ only; planning prompt; no marketplace language,planned:needs-group-asset-and-group-post; copy_expanded_2026-06-09
