publish_date,channel,target_channels,content_type,theme,draft_copy,asset,cta,compliance_notes,status
2026-06-10,Outreach,Partner outreach only,partner,Ash Hole Cigar Club,"Send the approved club partnership pitch to Ash Hole Cigar Club through its official chapter or contact channel. Mention Phoenix mother-chapter relevance.",No public asset,Ask for conversation,Adult 21+ only; use official channel only; no member-list request,ready
2026-06-11,Group,Instagram + Facebook Page + Facebook Group,thread,Lounge etiquette,"Lounge etiquette thread: what is one small habit that makes a cigar lounge better for everyone in the room? 21+ only.",Lounge etiquette photo or branded prompt card,Share one habit,Adult 21+ only; community education; cross-post IG + FB Page + FB Group,ready
2026-06-12,Page,Instagram + Facebook Page + Facebook Group,text prompt,Wrapper talk,"Wrapper talk for the weekend: what wrapper style first helped you notice flavor differences more clearly? Keep it descriptive, not fancy. 21+ only.",Wrapper/color educational image plus carousel prompt card,Comment with a wrapper note,Adult 21+ only; no health or sales claims; cross-post IG + FB Page + FB Group,ready
2026-06-13,Outreach,Partner outreach only,partner,Fat Buddha Cigar Club,"Send the approved lounge/private-club partnership pitch to Fat Buddha Cigar Club. Focus on adult 21+ member experience and local Scottsdale fit.",No public asset,Ask for conversation,Adult 21+ only; use published business contact; no list request,ready
2026-06-14,Page,Instagram + Facebook Page + Facebook Group,event recap prompt,Local lounge roll call,"Arizona lounge roll call: where have you had a great conversation lately? Tag the lounge only if it fits their rules and the moment. 21+ only.",Local lounge exterior or neutral lounge photo plus map-style prompt card,Comment with a lounge,Adult 21+ only; no sales or offers; cross-post IG + FB Page + FB Group,ready
2026-06-15,Group,Instagram + Facebook Page + Facebook Group,thread,Collection story,"What is one cigar in your humidor that has a story behind it? No prices, no trades, just the memory. 21+ only.",Member-style humidor photo plus story prompt card,Share the story,Adult 21+ only; no trading; cross-post IG + FB Page + FB Group,ready
2026-06-16,Page,Instagram + Facebook Page + Facebook Group,education,Cigar rest,"Some cigars teach patience before they teach flavor. What do you usually let rest before revisiting? 21+ only.",Humidor shelf photo plus patience-themed visual card,Comment with a rest habit,Adult 21+ only; no inventory or availability language; cross-post IG + FB Page + FB Group,ready
2026-06-17,Outreach,Partner outreach only,partner,Ambassador Fine Cigars,"Send the approved lounge event pitch through Ambassador Fine Cigars' official contact path. Mention tastings, pairings, and member-only event fit.",No public asset,Ask for event conversation,Adult 21+ only; venue partnership only; no customer-list request,ready
2026-06-18,Group,Instagram + Facebook Page + Facebook Group,thread,Pairing notes,"Pairing thread: what drink, snack, or setting has surprised you in a good way with a cigar? Keep it adult and responsible. 21+ only.",Pairing table photo or branded prompt card,Share a pairing note,Adult 21+ only; avoid alcohol overconsumption framing; cross-post IG + FB Page + FB Group,ready
2026-06-19,Page,Instagram + Facebook Page + Facebook Group,text prompt,Weekend ritual,"Weekend ritual check: are you a quiet patio person, a lounge table person, or a post-dinner walk-and-talk person? 21+ only.",Lifestyle patio or lounge photo plus ritual choice card,Comment with your ritual,Adult 21+ only; community prompt; cross-post IG + FB Page + FB Group,ready
2026-06-20,Outreach,Partner outreach only,partner,Churchill's Fine Cigars,"Send the approved lounge event pitch through Churchill's official contact form. Personalize around its multi-location Valley lounge network.",No public asset,Ask for event conversation,Adult 21+ only; use contact form; no list request,ready
2026-06-21,Page,Instagram + Facebook Page + Facebook Group,founder note,Community standard,"The standard we want for Yuzu is simple: useful cigar talk, adult 21+ community, and respect for the lounges and people who make the culture worth showing up for.",Logo or founder photo plus community-standard quote card,Follow the Page,Adult 21+ only; no product promotion; cross-post IG + FB Page + FB Group,ready
2026-06-22,Group,Instagram + Facebook Page + Facebook Group,thread,Beginner question,"No-snob thread: what is one beginner cigar question you wish someone answered clearly when you started? 21+ only.",Beginner education card over humidor or lounge image,Ask or answer,Adult 21+ only; education; cross-post IG + FB Page + FB Group,ready
2026-06-23,Page,Instagram + Facebook Page + Facebook Group,education,Cutting and lighting,"Technique Tuesday: what small cutting or lighting habit changed your experience the most? Keep it practical. 21+ only.",Cutter/lighter still life photo plus technique carousel card,Comment with a technique,Adult 21+ only; no sales language; cross-post IG + FB Page + FB Group,ready
2026-06-24,Outreach,Partner outreach only,partner,Castro's Cigar Bar,"Send the approved lounge event pitch through Castro's official collaboration/contact path. Mention Phoenix, Scottsdale, and Tempe fit.",No public asset,Ask for event conversation,Adult 21+ only; use official form; partnership angle only,ready
2026-06-25,Group,Instagram + Facebook Page + Facebook Group,thread,Cigar notes,"Tasting notes thread: choose one word that showed up in a cigar recently: cedar, cream, pepper, earth, cocoa, citrus, leather, or your own word. 21+ only.",Tasting notes word-card over cigar journal image,Comment with one word,Adult 21+ only; subjective notes only; cross-post IG + FB Page + FB Group,ready
2026-06-26,Page,Instagram + Facebook Page + Facebook Group,text prompt,Friday pairing,"Friday pairing prompt: coffee first, spirit first, sparkling water first, or no pairing at all? 21+ only.",Pairing table photo plus four-choice prompt card,Comment with a pairing style,Adult 21+ only; responsible framing; cross-post IG + FB Page + FB Group,ready
2026-06-27,Outreach,Partner outreach only,partner,Puro Cigar Bar,"Send the approved lounge event pitch through Puro Cigar Bar's official contact path. Mention East Valley community and adult 21+ controls.",No public asset,Ask for event conversation,Adult 21+ only; venue partnership only; no giveaway language,ready
2026-06-28,Page,Instagram + Facebook Page + Facebook Group,event prompt,Event interest,"We are mapping the kinds of adult 21+ cigar events that would actually be worth leaving the house for. Humidor class, pairing night, lounge meetup, or maker conversation?",Event room or lounge photo plus four-choice poll card,Vote in comments,Adult 21+ only; no free tobacco language; cross-post IG + FB Page + FB Group,ready
2026-06-29,Group,Instagram + Facebook Page + Facebook Group,thread,Weekly humidor check,"Weekly humidor check: what is steady, what is drifting, and what are you learning from your setup? 21+ only.",Humidor photo plus check-in prompt card,Share your check-in,Adult 21+ only; education; cross-post IG + FB Page + FB Group,ready
2026-06-30,Page,Instagram + Facebook Page + Facebook Group,education,Digital humidor angle,"A good humidor is part storage, part memory. What do you track: dates, ratings, pairings, notes, or just the story behind each cigar? 21+ only.",Digital humidor screenshot or lifestyle closeup plus IG carousel card,Comment with what you track,Adult 21+ only; no checkout language; cross-post IG + FB Page + FB Group,ready
2026-07-01,Admin,Internal admin,metrics,First month review,"Review Page followers, post comments, group member count, active contributors, partner replies, and event conversations. Choose the three post types worth repeating in July.",No public asset,Record metrics,Adult 21+ only; internal admin task; no public post,ready
2026-06-01,Page,Instagram + Facebook Page + Facebook Group,video,Membership explainer,"Yuzu membership is built around adult 21+ cigar culture: digital humidor tools, curated cigar experiences, concierge guidance, education, events, and support. The goal is simple: make your cellar easier to understand and your notes easier to keep. 21+ only. Learn more: https://www.yuzucigarclub.com/membership",HyperFrames vertical MP4 plus cover image,Learn more,Adult 21+ only; no price/checkout/inventory language; cross-post IG + FB Page + FB Group,published:1938883936832335
2026-06-01,Group,Instagram + Facebook Page + Facebook Group,reel share,Membership explainer,"Yuzu membership is built around adult 21+ cigar culture: digital humidor tools, curated cigar experiences, concierge guidance, education, events, and support. The goal is simple: make your cellar easier to understand and your notes easier to keep. Watch the membership explainer: https://www.facebook.com/reel/1938883936832335/ 21+ only.",Page Reel preview plus Instagram Story/Reel cover,Watch the explainer,Adult 21+ only; shared Page Reel preview because Group Graph API lacks permission; cross-post IG + FB Page + FB Group,published:https://www.facebook.com/groups/1702820237822858
2026-06-04,External Group,External Facebook group only,image prompt,Valley Cigar Club,"Phoenix-area humidor check: what RH has been steady for you this week, and what did the desert air teach you the hard way? 21+ only.",output/social/facebook-group-posts-2026-06/valley-cigar-club-humidor-check.png,Ask admin before posting; invite comments,Adult 21+ only; no link-first posting; no sales/pricing/inventory/health-claim language; logo badge should be removed if group rules disallow branded images,prepared:admin-review
2026-06-05,External Group,External Facebook group only,image prompt,Ash Hole Cigar Club Phoenix,"Community-table question for the Phoenix cigar crowd: what small lounge habit makes a newcomer feel welcome? 21+ only.",output/social/facebook-group-posts-2026-06/ash-hole-cigar-club-community-table.png,Ask admin before posting; invite comments,Adult 21+ only; hospitality/community angle; no sales/pricing/inventory/health-claim language; logo badge should be removed if group rules disallow branded images,prepared:admin-review
2026-06-06,External Group,External Facebook group only,image prompt,Tap N Ash Social Club Fan Club,"Vegas lounge-night question: live music, patio talk, or a quiet chair by the humidor - which setting makes the cigar conversation better for you? 21+ only.",output/social/facebook-group-posts-2026-06/tap-n-ash-social-club-lounge-night.png,Ask admin before posting; invite comments,Adult 21+ only; fan-club discussion angle; no sales/pricing/inventory/health-claim language; logo badge should be removed if group rules disallow branded images,prepared:admin-review
2026-06-07,External Group,External Facebook group only,image prompt,Cigar Connoisseurs,"For the note-takers: do you track wrapper, rest date, pairing, draw, or just the memory attached to the cigar? 21+ only.",output/social/facebook-group-posts-2026-06/cigar-connoisseurs-tasting-notes.png,Ask admin before posting; invite comments,Adult 21+ only; educational/connoisseur angle; no sales/pricing/inventory/health-claim language; logo badge should be removed if group rules disallow branded images,prepared:admin-review
2026-06-08,External Group,External Facebook group only,image prompt,Black Cigar Smokers,"Mentorship thread: what cigar-lounge lesson did someone teach you that you still pass along? 21+ only.",output/social/facebook-group-posts-2026-06/black-cigar-smokers-community-lounge.png,Ask admin before posting; invite comments,Adult 21+ only; fellowship/mentorship angle; no sales/pricing/inventory/health-claim language; logo badge should be removed if group rules disallow branded images,prepared:admin-review
2026-06-09,External Group,External Facebook group only,image prompt,Hollow Down Online Group,"Podcast-lounge question: what cigar topic always starts the best conversation - storage, pairings, lounge etiquette, or first cigars that changed your palate? 21+ only.",output/social/facebook-group-posts-2026-06/hollow-down-online-group-podcast-lounge.png,Ask admin before posting; invite comments,Adult 21+ only; podcast/community discussion angle; no sales/pricing/inventory/health-claim language; logo badge should be removed if group rules disallow branded images,prepared:admin-review
2026-06-05,Group,Instagram + Facebook Page + Facebook Group,interest thread,Yuzu club interest,"Question for the lounge: what would make an adult 21+ cigar club feel worth your time - a more useful humidor record, better tasting notes, pairing ideas, local lounge meetups, or deeper cigar education? Yuzu Cigar Club is being built around the slower side of cigar culture: storage, notes, pairings, events, and respectful conversation. What should we build around first? 21+ only.",Image file: output/social/yuzu-group-interest-2026-06-05/yuzu-group-interest-fb-group-square.png,Comment with what would make the club useful,Adult 21+ only; no marketplace/pricing/inventory/health-claim language; cross-post IG + FB Page + FB Group,published:https://www.facebook.com/groups/1702820237822858/posts/1706593970778818/
2026-06-05,Page,Instagram + Facebook Page + Facebook Group,image prompt,NBA Finals Game 2 watch thread,"Finals Game 2 watch thread: Knicks at Spurs tonight, 5:30 PM AZ / 8:30 PM ET. What are you smoking for the game: mellow, bold, maduro, or something you have been letting rest? Drop the cigar style and one tasting note. 21+ only. No marketplace posts, pricing, inventory, or health claims.",Image files: output/social/nba-finals-game-2-2026-06-05/nba-finals-game-2-ig-4x5.jpg + output/social/nba-finals-game-2-2026-06-05/nba-finals-game-2-fb-page-landscape.jpg + output/social/nba-finals-game-2-2026-06-05/nba-finals-game-2-fb-group-square.jpg,Drop your Game 2 cigar style,Adult 21+ only; sports watch-thread prompt; no marketplace/pricing/inventory/health-claim language; no official NBA or team marks used,published:instagram=https://www.instagram.com/p/DZOQDATAeHD/;facebook_page=https://www.facebook.com/122099394543350335/posts/122102403957350335;group_blocked=ui_clipboard_and_graph_permissions;threads_blocked=no_login_or_api_token
2026-06-05,Page,Instagram + Facebook Page + Facebook Group,carousel plus story,Cigar Flow June 1-5,"Cigar Flow | June 1-5 week-in-flow. Five adult 21+ cigar-culture signals we are watching: limited-release movement, new-maker energy, collector design, heritage craft, and the bigger question for the lounge: what deserves the deeper read? Editorial news-and-culture scan only. No marketplace posts, no pricing posts, no inventory posts. 21+ only.",Image carousel plus HyperFrames Story video: output/social/cigar-flow-june-1-5-2026/,Read the Cigar Flow format on Yuzu,"Adult 21+ only; no marketplace/pricing/inventory/health-claim language; IG carousel and Story plus Facebook Page published; Facebook Group Graph API blocked and pending UI share",published:ig=https://www.instagram.com/p/DZOPbEKAQs8/;story=17990943923975534;fb-page=1148511071677542_122102402739350335;fb-group=pending-ui-share
