lead_name,type,priority,geography,public_contact,contact_method,website_or_profile,source_url,fit_for_yuzu,outreach_angle,compliance_notes,score,status
"Figurado Cigar Company","lounge/retailer","P2","Mesa, AZ","Info@figuradocigarcompany.com","email","https://figuradocigarcompany.com/elements/pages/contact/","https://business.mesachamber.org/ap/Events/Register/kgFzbwDCzCVC1","Mesa lounge with business chamber cigar event signal and education-friendly positioning.","East Valley event partnership or business-networking cigar night.","Use published shop email; confirm event calendar.",81,"ready"
"H&C Mobile Cigar Lounge","mobile lounge/event services","P2","Phoenix Metro, AZ","info@hcmobilecigarlounge.com","email/contact form","https://hcmobilecigarlounge.com/contact/","https://hcmobilecigarlounge.com/contact/","Phoenix mobile cigar lounge serving private/corporate events across the Valley.","Mobile cigar lounge activation for Yuzu member/private events.","Event-services partnership; confirm licensing and age checks.",80,"ready"
"Sun of a Gun Cigars","lounge/retailer","P2","Yuma, AZ","sales@sunofaguncigars.com","email/contact form","https://www.sunofaguncigars.com/contact-us","https://www.sunofaguncigars.com/contact-us","Yuma lounge and online store with rare/premium cigar positioning.","Arizona expansion partner; rare allocation/drop discussion.","Do not promise nationwide shipping in cold email.",77,"ready"
"Cigars Daily","retailer/lounge/media","P2","Phoenix, AZ","Website contact form / (602) 703-1194","contact form/phone","https://cigarsdaily.com/contact-us/","https://cigarsdaily.com/contact-us/","Phoenix retailer with lounge and media/community audience.","Potential local industry intro; careful because competitor/retailer-owned.","Partnership only; avoid customer list and discount claims.",73,"verify"
"Ambassador Fine Cigars owner/business contact","individual/business owner","P3","Phoenix, AZ","Use official business contact form first","contact form","https://ambassadorcigars.com/contact/","https://ambassadorcigars.com/contact/","Owner/operator relationship may matter for venue partnership.","Ask for event/partnership manager routing.","Do not use scraped personal email as first touch.",70,"contact_form_first"
"Smoke N The Desert / Phoenix Cigar Week","event/community","P1","Phoenix/Chandler/Scottsdale, AZ","Official contact page/socials","contact form/social","https://smokenthedesert.com/","https://smokenthedesert.com/","High-relevance regional cigar week with lounges, tastings, and brand activations.","Sponsor, vendor, or Yuzu member activation.","Confirm 2026/2027 schedule and organizer channel.",86,"ready"
"Cigar Rights of America","advocacy/community org","P1","National","info@cigarrights.org; membership@cigarrights.org","email","https://cigarrights.org/contact-us/","https://cigarrights.org/contact-us/","Grassroots premium-cigar advocacy group with consumers, retailers, and manufacturers.","Advocacy partnership, membership content, or co-branded compliance-aware outreach.","Not a promo blast target; advocacy/community angle.",90,"ready"
"Premium Cigar Association","trade association","P2","National","sigler@premiumcigars.org; info@premiumcigars.org; twaddill@associationrevenuepartners.com","email","https://pcashow.org/contact-us/","https://pcashow.org/contact-us/","Major premium cigar trade association and show operator.","Retail/manufacturer network, advertising, booth/sponsorship inquiry.","B2B only; trade-show/advertising angle.",82,"ready"
"Cigar Association of America","trade association","P2","National","hello@cigarsusa.org","email","https://cigarsusa.org/members/get-involved/","https://cigarsusa.org/members/get-involved/","National cigar industry association with advocacy and industry network.","Industry introduction or membership inquiry.","B2B/advocacy; not consumer marketing.",78,"ready"
"Tobacconists' Association of America","trade association","P2","National","P.O. Box / phone contact listed","phone/mail","https://www.thetaa.org/","https://www.thetaa.org/","Retail tobacconist association with events and member retailer network.","Ask about membership eligibility, event, or retailer introductions.","May not fit direct email; use formal contact.",74,"verify"
"Cigars for Warriors","charity/nonprofit","P2","National","Website contact/donation process","contact form","https://www.cigarsforwarriors.org/","https://www.cigarsforwarriors.org/","Cigar charity with strong enthusiast support and donation/volunteer pathways.","Cause partnership or donation drive; not marketing blast.","Follow donation/tobacco handling rules; 21+ language.",82,"ready"
"Veterans of the Leaf","veteran community","P2","National/digital + meetups","Website contact/join form","contact form","https://veteransoftheleaf.org/","https://veteransoftheleaf.org/","Veteran/patriotic cigar community with herfs and in-person events.","Community partnership or charity-aligned event.","Respect membership/community rules.",80,"ready"
"Smoking Shields","first responder/military fraternity","P2","National chapters","Website membership/chapter contact","contact form","https://www.smokingshields.org/","https://www.smokingshields.org/","Law enforcement/military cigar nonprofit with chapters and charity events.","Restricted-community partnership or charity event.","Membership eligibility restricted; use official chapter contact.",78,"ready"
"SOTL Global Movement","women-in-cigars community","P1","Global/National","Website membership/contact/social channels","contact form/social","https://www.sotlglobalmovement.com/","https://www.sotlglobalmovement.com/sgmnetwork","Women-forward cigar culture, education, networking, and lounge accreditation.","Ambassador/inclusion partnership; women-of-cigars feature.","Use community-facing respectful pitch; no member list.",86,"ready"
"Cigars & Startups / Cigar Curator","entrepreneur community","P1","Austin/Seattle/DC/NYC + online","ask@cigarcurator.com","email","https://cigarcurator.com/","https://cigarcurator.com/","Multi-city founder/investor cigar community with sponsor/cohost fit.","Sponsor or co-host a founder cigar night.","B2B/community; adult-only event language.",88,"ready"
"Carmel Valley Cigar Club","club/community","P2","San Diego, CA","info@carmelvalleycigarclub.com","email/contact form","https://carmelvalleycigarclub.com/","https://carmelvalleycigarclub.com/","Active Southern California cigar social/fundraising club.","Club partnership or Yuzu member intro.","21+ language; avoid member-list request.",82,"ready"
"North Texas Cigar Society","club/community","P2","Keller/Fort Worth, TX","NorthTexasCigarSociety@yahoo.com","email/Meetup","https://www.meetup.com/north-texas-cigar-society/","https://www.meetup.com/north-texas-cigar-society/","Independent monthly cigar group supporting shops/events and Cigars for Warriors.","Club intro or charity-aligned collaboration.","Public group email; respect Meetup rules.",80,"ready"
"The Woodlands Cigar Club","nonprofit club","P2","The Woodlands, TX","cigartechie@thewoodlandscigarclub.org","email","https://www.thewoodlandscigarclub.org/","https://www.thewoodlandscigarclub.org/","501(c)(3) community club with veteran founders, charity, and weekly guest welcomes.","Community/charity partnership or member intro.","Nonprofit/community tone; no sales-heavy pitch.",83,"ready"
"Blu' Flame Cigar Society","club/community","P2","Treasure Coast, FL","Published phone/contact form","contact form/phone","https://bfcsttc.com/","https://bfcsttc.com/","Premium cigar society focused on networking, fellowship, and curated events.","Remote club partnership; possible ambassador intro.","Use official form; 21+ language.",76,"ready"
"D.C. Center-Right Cigar Society","membership society","P3","Washington, DC","Website membership/contact paths","contact form","https://www.dccigarsociety.com/memberships","https://www.dccigarsociety.com/memberships","Event-driven membership society with sponsorship options.","Corporate sponsor/club partnership if brand fit is acceptable.","Political identity may narrow brand fit.",70,"verify"
"Black Stogies Cigar Company / Club","club/brand community","P2","National/California + online","blackstogies@gmail.com","email/contact form","https://blackstogies.com/contact/","https://blackstogies.com/contact/","Public cigar club/company with sponsors/partners section and social channels.","Club partnership or community feature.","Use business Gmail from official site; adult-only language.",79,"ready"
"Black Box Cigar Club","club/subscription","P3","Wheaton, IL","Sales@BlackBoxCigarClub.com","email/contact form","https://www.blackboxcigarclub.com/pages/contact-us","https://www.blackboxcigarclub.com/pages/contact-us","Cigar club/subscription operator; possible peer intro or cross-promotion.","Business development only; likely competitor-adjacent.","Be cautious: competitor/subscription club.",68,"low_priority"
"Nova Cigar Club","private club/lounge","P2","West Palm Beach, FL","info@ncc111.com","email/contact form","https://ncc111.com/","https://ncc111.com/","Private membership cigar club with visitor passes and elegant lounge positioning.","Private club reciprocity/partnership intro.","B2B/member-club angle only.",76,"ready"
"The Continental Cigar Club","private club/lounge","P2","Jackson, MS","thecontinentalcigarclub@gmail.com","email/contact form","https://thecontinentalcigarclubs.com/contact-us/","https://thecontinentalcigarclubs.com/contact-us/","Exclusive cigar club/lounge with events and tiered memberships.","Private-club reciprocity or event partnership.","Use official club email; no member-list request.",75,"ready"
"Vanguard Cigar Club","private club/lounge","P2","Branford, CT","vanguardcigar@gmail.com","email/contact form","https://www.vanguardcigar.com/contact-us","https://www.vanguardcigar.com/contact-us","Private cigar club with event/private-space language.","Private-club partnership or event exchange.","Use official club email; verify current activity.",74,"verify"
"Tap N Ash Social Club","club/lounge","P1","Las Vegas, NV","biz@baddashcigar.com","email","https://tapnashlv.com/","https://tapnashlv.com/","Vegas social cigar venue with private membership, events, and lockers.","Southwest partnership; Yuzu Vegas member event.","B2B/event outreach; no customer list.",87,"ready"
"Cigars & Cars Group","private club/community","P2","Las Vegas, NV","info@cigarsandcarsgroup.com","email/request form","https://cigarsandcarsgroup.com/","https://cigarsandcarsgroup.com/","Luxury cigar and automotive community with invitation-only positioning.","Luxury lifestyle collaboration or member event.","Keep pitch selective and non-bulk.",84,"ready"
"Eight Cigar Lounge","luxury lounge","P1","Las Vegas, NV","info@eightloungelv.com","email","https://www.eightloungelv.com/location/eight-cigar-lounge/","https://www.eightloungelv.com/upcoming-events/","Luxury Vegas cigar/cocktail lounge with events calendar and cigar club.","Vegas event partnership or sponsored private tasting.","Event partnership; confirm policies.",86,"ready"
"En Fuego Cigars & Lounge","lounge/retailer","P2","Las Vegas/Henderson, NV","info@enfuegolasvegas.com","email","https://www.enfuegolasvegas.com/","https://www.enfuegolasvegas.com/","24/7 private lounge, cigar roller booking, and podcast/event-service fit.","Vegas collaboration or event-services intro.","B2B/event pitch.",80,"ready"
"Triple Crown Cigar Lounge","lounge","P2","Las Vegas, NV","Website contact / phone","contact form/phone","https://triplecrowncigarlounge.com/las-vegas-triple-crown-cigar-lounge-about","https://triplecrowncigarlounge.com/las-vegas-triple-crown-cigar-lounge-about","Live music, viewing events, private parties, and membership.","Lifestyle event activation.","Use official form; 21+.",76,"ready"
"Telford's Pipe & Cigar","retailer/lounge","P2","Mill Valley, CA","Phone / newsletter signup","phone/contact","https://telfordspipeandcigar.com/events.html","https://telfordspipeandcigar.com/events.html","Established tobacconist with events and Golden Gate Pipe Club meetings.","Bay Area partner/newsletter co-promo.","Use business channel; confirm active events.",75,"ready"
"Liberty Tobacco","retailer/lounge","P2","San Diego/Del Mar, CA","Phone / Birthday Club signup","phone/contact","https://libertytobacco.com/","https://libertytobacco.com/","San Diego tobacconist with lounge/patio, news/events, and community involvement.","SoCal lounge partnership or opt-in promo.","Use partnership request; no list sharing.",76,"ready"
"Grand Havana Room","private club","P2","Beverly Hills, CA","Membership inquiry via site","contact form","https://grandhavana.com/beverly-hills/","https://grandhavana.com/beverly-hills/","High-end members-only cigar club with events/newsletter for members.","Selective luxury partnership/invite-only introduction.","Likely high barrier; keep discreet and formal.",73,"verify"
"Cigar Mas Fino","retailer/lounge/community","P2","Fresno/Bakersfield, CA","Website club/signup","contact form","https://www.cigarmasfino.com/","https://www.cigarmasfino.com/","Active club/event structure, Cigar Syndicate, text alerts, VIP lockers.","Member-drop or club partnership.","Use official contact; adult-only language.",78,"ready"
"Gran Reserva Cigar Lounge","private lounge","P2","Glendale, CA","info@granreservalounge.com","email/membership form","https://www.granreservalounge.com/","https://www.granreservalounge.com/","Private membership lounge with upscale positioning.","Selective member-club partnership.","Do not over-bulk; ask for partnership manager.",77,"ready"
"Industrial Cigar Co.","lounge/community","P1","Frisco, TX","members@industrialcigars.com","email","https://industrialcigars.co/pages/membership-at-icc","https://industrialcigars.co/pages/membership-at-icc","Strong community lounge model with member groups, programming, and exclusive events.","Best-practice club partnership or founder-to-founder intro.","B2B/member-events focus.",87,"ready"
"Stogies World Class Cigars","retailer/lounge","P2","Houston, TX","support@stogiesofhouston.com","email","https://stogiesworldclasscigars.com/","https://stogiesworldclasscigars.com/","Large lounge/store with newsletter and events positioning.","Retail/lounge co-promo to opt-in audience.","Use support/business channel; ask for marketing manager.",76,"ready"
"Viso Cigar Lounge","lounge/community","P2","McKinney, TX","Website membership/contact","contact form","https://visocigars.com/membership-2/","https://visocigars.com/membership-2/","Membership includes member-only and education events.","Boutique member-event collaboration.","Use form; no member list.",75,"ready"
"Urban Smoke","lounge","P2","Houston, TX","Website contact form","contact form","https://www.urbansmokehouston.com/","https://www.urbansmokehouston.com/","Members-only lounge with live music and events.","Lifestyle/event partnership.","Use form; adult-only language.",74,"ready"
"ZODI'X Cigar Lounge","lounge/community","P2","Round Rock, TX","Website contact/social","contact form/social","https://zodixcigarlounge.com/","https://zodixcigarlounge.com/","Local cigar event CTA and monthly membership passes.","Texas lounge/community intro.","Verify contact channel before email.",70,"verify"
"Cigar Aficionado / M. Shanken","media","P1","National","jcohen@mshanken.com","email","https://www.mshanken.com/cigaraficionado/","https://www.mshanken.com/cigaraficionado/","Premium luxury cigar magazine with affluent adult audience and Big Smoke reach.","Advertising/media kit inquiry or launch story angle.","Paid media likely; use ad-sales contact.",86,"ready"
"Cigar Journal","media","P1","Global/National","ads@cigarjournal.com","email","https://www.cigarjournal.com/print-advertising/","https://www.cigarjournal.com/print-advertising/","Global cigar magazine with print and digital audience.","Advertising or editorial tip about Yuzu club model.","Paid media/ad-sales angle.",85,"ready"
"Cigar Snob Magazine","media","P1","National","info@cigarsnobmag.com","email/advertise form","https://www.cigarsnobmag.com/advertise/","https://www.cigarsnobmag.com/advertise/","Cigar lifestyle magazine and podcast audience.","Launch story, sponsored placement, or interview pitch.","Use ad/business channel; disclose any paid collab.",84,"ready"
"Cigar & Spirits Magazine","media","P2","National","Contact form only","contact form","https://www.cigarandspirits.com/contact-us","https://www.cigarandspirits.com/contact-us","Premium cigar, spirits, and lifestyle magazine with pairing/luxury angle.","Media/collab pitch or sponsored content inquiry.","Form only; disclosure for paid collab.",75,"ready"
"halfwheel","media","P1","National","Contact form only","contact form","https://halfwheel.com/contact/","https://halfwheel.com/contact/","High-trust cigar industry news/review audience.","Concise press tip; avoid fluffy promo language.","Contact form only; newsworthy angle needed.",87,"ready"
"Cigar Coop","media/podcast","P1","National","coop@cigar-coop.com","email","https://cigar-coop.com/about","https://cigar-coop.com/about/review-policies","Independent cigar news, reviews, and podcasts with industry focus.","Press/review submission or podcast guest pitch.","Respect review policies; disclose relationships.",89,"ready"
"Cigar Dojo / Dojoverse","media/community","P1","National/online","Dojoverse/social/contact channels","social/contact form","https://cigardojo.com/contact-us/","https://cigardojo.com/advertising-information/","Large online cigar app/community and media hub.","Community activation, Smoke Night LIVE, or advertising/media kit.","Use official community channels; no mass DMs.",86,"ready"
"Cigar Press Magazine","media","P2","National","thor@cigarpressmag.com; fred@cigarpress.com","email","https://cigarpress.com/contact/","https://cigarpress.com/contact/","Boutique/enthusiast print and online cigar magazine.","Story/ad inquiry or club launch feature.","Use business contact; verify current publication activity.",78,"ready"
"Developing Palates","media/podcast","P1","National","aaron@developingpalates.com","email","https://developingpalates.com/reviewers/","https://developingpalates.com/reviewers/","Detailed cigar, beer, and spirits reviews plus podcast audience.","Review/sample policy inquiry or interview pitch.","Respect review policy; no free-sample language in broad email.",86,"ready"
"Simply Stogies","podcast/media","P1","National","info@simplystogies.com","email/contact form","https://simplystogies.com/contact/","https://simplystogies.com/contact/","Accessible cigar podcast/review community that accepts suggestions.","Podcast/interview or product suggestion pitch.","Disclose any comped value; 21+ language.",84,"ready"
"Stogie Review / Smoke & Steel","media/podcast","P2","National","Contact form / public site emails","contact form/email","https://stogiereview.com/contact-us/","https://stogiereview.com/contact-us/","Long-running cigar reviews/video/audio audience.","Cigar club story or review pitch.","Use public site contact; confirm active contributors.",78,"ready"
"Stogie Press","media","P2","National","Contact form","contact form","https://stogiepress.com/","https://stogiepress.com/cigar-reviews/","Boutique-focused cigar reviews and news.","Boutique discovery angle for Yuzu curation.","Form only; verify active cadence.",74,"ready"
"Cigar Inspector","media/reviews","P2","International/National","Official contact page","contact form/email if displayed","https://www.cigarinspector.com/contact-us","https://www.cigarinspector.com/contact-us","Cigar reviews, news, and merchant/community resources.","Review/search visibility or launch submission.","Use official contact page; adult-only language.",73,"ready"
"Puro Tabaco Magazine","media","P2","Nicaragua/International","luiscerrato@revistapurotabaco.com","email","https://www.purotabacomagazine.com/contact","https://www.purotabacomagazine.com/contact","Premium tobacco magazine with origin/storytelling angle.","International media intro or review application.","Use certified review/submission process.",75,"ready"
"The Discovered Leaf","media/podcast","P1","National","contact@thediscoveredleaf.com","email/submission form","https://thediscoveredleaf.com/submissions.html","https://thediscoveredleaf.com/submissions.html","Boutique/independent cigar discovery outlet.","Small-batch club story or submission.","Follow submission rules; disclose affiliations.",84,"ready"
"The Cigar Authority","podcast/media","P1","National","Contact form / public phone","contact form/phone","https://thecigarauthority.com/contact-cigar-authority/","https://thecigarauthority.podbean.com/","Long-running cigar podcast with loyal audience and guest format.","Guest/sponsor pitch or segment idea.","Retailer-owned ecosystem; pitch carefully.",80,"ready"
"Cigar Life Guy","individual/media","P2","National","CigarLifeGuy@CigarLifeGuy.com","email","https://cigarlifeguy.com/about-cigar-life-guy/","https://cigarlifeguy.com/about-cigar-life-guy/","Cigar lifestyle articles/interviews and social audience.","Lifestyle interview or Yuzu founder story.","Public business email; disclose collabs.",78,"ready"
"The Cigar Guys","podcast/creator group","P1","National","info@thecigarguys.com","email","https://thecigarguys.com/","https://thecigarguys.com/about/","Podcast plus social-first cigar influencers with explicit collaboration channel.","Creator collaboration, episode sponsor, or member offer.","Require FTC disclosures for paid/affiliate/comped value.",85,"ready"
"Long Ash Podcast / JR Cigars","podcast/media","P3","National","Use JR/show public channels","public channel","https://podcasts.apple.com/us/podcast/long-ash-podcast/id1463047179","https://podcasts.apple.com/us/podcast/long-ash-podcast/id1463047179","Active retailer-owned cigar industry podcast.","Guest idea if public business route is confirmed.","No direct podcast email found; competitor/retailer-owned.",65,"low_priority"
"Half Ashed Cigar Podcast","podcast/media","P3","National","Contact form","contact form","https://halfashed.com/contact-us/","https://halfashed.com/contact-us/","Accessible long-form cigar podcast/blog/forum audience.","Conversation-style pitch if current activity confirmed.","Verify active status before outreach.",69,"verify"
"Cigar Vixen","individual/creator","P3","National","Contact page only","contact form","https://www.cigarvixen.com/contact-cigar-vixen","https://www.cigarvixen.com/contact-cigar-vixen","Personality-led cigar creator/influencer.","Creator collaboration or event appearance inquiry.","Use public contact page; require disclosures.",70,"verify"
"Cigar World","community/media","P2","National/online","Contact form only","contact form","https://www.cigarworld.com/contact-us/","https://www.cigarworld.com/contact-us/","Large cigar community platform with articles and brand education.","Content/community partnership idea.","Brand/community platform; no scraping users.",73,"ready"
"Fine Tobacco Club / Fine Tobacco NYC","club/media/events","P1","New York City + national audience","info@finetobacconyc.com; matthias@finetobacconyc.com for private events","email/contact form","https://finetobaccoclub.com/","https://finetobacconyc.com/private-events/","Large event-based cigar community with 200+ gatherings and cigar/spirits pairings.","Event partnership, private event, or club exchange.","Adult event-focused; use sponsor/private event route.",86,"ready"
"CigarClub.com","subscription/community","P3","National","support@cigarclub.com","email","https://www.cigarclub.com/policies/contact-information","https://www.cigarclub.com/policies/contact-information","Established cigar subscription club with public support contact.","Potential industry intro only; competitor-adjacent.","Low priority due to competitive overlap.",62,"low_priority"
"Blackbird Cigar","brand/community","P3","National","sales@blackbirdcigar.com","email/contact form","https://blackbirdcigar.com/contact/","https://blackbirdcigar.com/contact/","Cigar brand with newsletter/club language; possible inventory/brand event partner.","Brand partnership or retail inquiry, not consumer outreach.","Manufacturer/brand, not audience list.",68,"low_priority"
"Warped Cigars","brand/media contact","P3","National","media@warpedcigars.com; retailers@warpedcigars.com","email","https://www.warpedcigars.com/contact","https://www.warpedcigars.com/contact","Premium cigar brand with media and retailer contact paths.","Inventory/brand-event inquiry.","Not a group list; use retail/media route.",69,"low_priority"
